Zeitraum,Menge HT (kWh),Menge NT (kWh),Menge Total (kWh),Maximale Leistung (kW)
30.12.2022 06:00 - 06:15,0,0.07400000095367432,0.07400000095367432,0.29600000381469727
30.12.2022 06:15 - 06:30,0,0.07400000095367432,0.07400000095367432,0.29600000381469727
30.12.2022 06:30 - 06:45,0,0.08100000023841858,0.08100000023841858,0.3240000009536743
30.12.2022 06:45 - 07:00,0,0.10599999874830246,0.10599999874830246,0.42399999499320984
30.12.2022 07:00 - 07:15,0.09700000286102295,0,0.09700000286102295,0.3880000114440918
30.12.2022 07:15 - 07:30,0.0820000022649765,0,0.0820000022649765,0.328000009059906
30.12.2022 07:30 - 07:45,0.07400000095367432,0,0.07400000095367432,0.29600000381469727
30.12.2022 07:45 - 08:00,0.0860000029206276,0,0.0860000029206276,0.3440000116825104
30.12.2022 08:00 - 08:15,0.09700000286102295,0,0.09700000286102295,0.3880000114440918
30.12.2022 08:15 - 08:30,0.08100000023841858,0,0.08100000023841858,0.3240000009536743
30.12.2022 08:30 - 08:45,0.07500000298023224,0,0.07500000298023224,0.30000001192092896
30.12.2022 08:45 - 09:00,0.07699999958276749,0,0.07699999958276749,0.30799999833106995
30.12.2022 09:00 - 09:15,0.08699999749660492,0,0.08699999749660492,0.3479999899864197
30.12.2022 09:15 - 09:30,0.07999999821186066,0,0.07999999821186066,0.3199999928474426
30.12.2022 09:30 - 09:45,0.08900000154972076,0,0.08900000154972076,0.35600000619888306
30.12.2022 09:45 - 10:00,0.09399999678134918,0,0.09399999678134918,0.37599998712539673
30.12.2022 10:00 - 10:15,0.0949999988079071,0,0.0949999988079071,0.3799999952316284
30.12.2022 10:15 - 10:30,0.09000000357627869,0,0.09000000357627869,0.36000001430511475
30.12.2022 10:30 - 10:45,0.07900000363588333,0,0.07900000363588333,0.3160000145435333
30.12.2022 10:45 - 11:00,0.09399999678134918,0,0.09399999678134918,0.37599998712539673
30.12.2022 11:00 - 11:15,0.23999999463558197,0,0.23999999463558197,0.9599999785423279
30.12.2022 11:15 - 11:30,0.09799999743700027,0,0.09799999743700027,0.3919999897480011
30.12.2022 11:30 - 11:45,0.0949999988079071,0,0.0949999988079071,0.3799999952316284
30.12.2022 11:45 - 12:00,0.08500000089406967,0,0.08500000089406967,0.3400000035762787
30.12.2022 12:00 - 12:15,0.10199999809265137,0,0.10199999809265137,0.40799999237060547
30.12.2022 12:15 - 12:30,0.11900000274181366,0,0.11900000274181366,0.47600001096725464
30.12.2022 12:30 - 12:45,0.13500000536441803,0,0.13500000536441803,0.5400000214576721
30.12.2022 12:45 - 13:00,0.13600000739097595,0,0.13600000739097595,0.5440000295639038
30.12.2022 13:00 - 13:15,0.5830000042915344,0,0.5830000042915344,2.3320000171661377
30.12.2022 13:15 - 13:30,0.5049999952316284,0,0.5049999952316284,2.0199999809265137
30.12.2022 13:30 - 13:45,0.21799999475479126,0,0.21799999475479126,0.871999979019165
30.12.2022 13:45 - 14:00,0.12800000607967377,0,0.12800000607967377,0.5120000243186951
30.12.2022 14:00 - 14:15,0.14100000262260437,0,0.14100000262260437,0.5640000104904175
30.12.2022 14:15 - 14:30,0.125,0,0.125,0.5
30.12.2022 14:30 - 14:45,0.1459999978542328,0,0.1459999978542328,0.5839999914169312
30.12.2022 14:45 - 15:00,0.16300000250339508,0,0.16300000250339508,0.6520000100135803
30.12.2022 15:00 - 15:15,0.15000000596046448,0,0.15000000596046448,0.6000000238418579
30.12.2022 15:15 - 15:30,0.13300000131130219,0,0.13300000131130219,0.5320000052452087
30.12.2022 15:30 - 15:45,0.1379999965429306,0,0.1379999965429306,0.5519999861717224
30.12.2022 15:45 - 16:00,0.12600000202655792,0,0.12600000202655792,0.5040000081062317
30.12.2022 16:00 - 16:15,0.10400000214576721,0,0.10400000214576721,0.41600000858306885
30.12.2022 16:15 - 16:30,0.09300000220537186,0,0.09300000220537186,0.3720000088214874
30.12.2022 16:30 - 16:45,0.07400000095367432,0,0.07400000095367432,0.29600000381469727
30.12.2022 16:45 - 17:00,0.07599999755620956,0,0.07599999755620956,0.30399999022483826
30.12.2022 17:00 - 17:15,0.07999999821186066,0,0.07999999821186066,0.3199999928474426
30.12.2022 17:15 - 17:30,0.0820000022649765,0,0.0820000022649765,0.328000009059906
30.12.2022 17:30 - 17:45,0.07599999755620956,0,0.07599999755620956,0.30399999022483826
30.12.2022 17:45 - 18:00,0.052000001072883606,0,0.052000001072883606,0.20800000429153442
30.12.2022 18:00 - 18:15,0.07800000160932541,0,0.07800000160932541,0.31200000643730164
30.12.2022 18:15 - 18:30,0.08100000023841858,0,0.08100000023841858,0.3240000009536743
30.12.2022 18:30 - 18:45,0.061000000685453415,0,0.061000000685453415,0.24400000274181366
30.12.2022 18:45 - 19:00,0.04100000113248825,0,0.04100000113248825,0.164000004529953
30.12.2022 19:00 - 19:15,0.052000001072883606,0,0.052000001072883606,0.20800000429153442
30.12.2022 19:15 - 19:30,0.0430000014603138,0,0.0430000014603138,0.1720000058412552
30.12.2022 19:30 - 19:45,0.04500000178813934,0,0.04500000178813934,0.18000000715255737
30.12.2022 19:45 - 20:00,0.04699999839067459,0,0.04699999839067459,0.18799999356269836
30.12.2022 20:00 - 20:15,0.050999999046325684,0,0.050999999046325684,0.20399999618530273
30.12.2022 20:15 - 20:30,0.03999999910593033,0,0.03999999910593033,0.1599999964237213
30.12.2022 20:30 - 20:45,0.026000000536441803,0,0.026000000536441803,0.10400000214576721
30.12.2022 20:45 - 21:00,0.026000000536441803,0,0.026000000536441803,0.10400000214576721
30.12.2022 21:00 - 21:15,0.04899999871850014,0,0.04899999871850014,0.19599999487400055
30.12.2022 21:15 - 21:30,0.03700000047683716,0,0.03700000047683716,0.14800000190734863
30.12.2022 21:30 - 21:45,0.028999999165534973,0,0.028999999165534973,0.11599999666213989
30.12.2022 21:45 - 22:00,0.024000000208616257,0,0.024000000208616257,0.09600000083446503
30.12.2022 22:00 - 22:15,0,0.02500000037252903,0.02500000037252903,0.10000000149011612
30.12.2022 22:15 - 22:30,0,0.041999999433755875,0.041999999433755875,0.1679999977350235
30.12.2022 22:30 - 22:45,0,0.057999998331069946,0.057999998331069946,0.23199999332427979
30.12.2022 22:45 - 23:00,0,0.04399999976158142,0.04399999976158142,0.17599999904632568
30.12.2022 23:00 - 23:15,0,0.15299999713897705,0.15299999713897705,0.6119999885559082
30.12.2022 23:15 - 23:30,0,0.10199999809265137,0.10199999809265137,0.40799999237060547
30.12.2022 23:30 - 23:45,0,0.09799999743700027,0.09799999743700027,0.3919999897480011
30.12.2022 23:45 - 00:00,0,0.08900000154972076,0.08900000154972076,0.35600000619888306
31.12.2022 00:00 - 00:15,0,0.07800000160932541,0.07800000160932541,0.31200000643730164
